driverStandingsId,raceId,driverId,points,position,positionText,wins
1,19,1,10.0,1,1,1
2,19,2,8.0,2,2,0
3,19,3,6.0,3,3,0
4,19,4,5.0,4,4,0
5,19,5,4.0,5,5,0
6,19,6,3.0,6,6,0
7,19,7,2.0,7,7,0
8,19,8,1.0,8,8,0
9,20,1,14.0,1,1,1
10,20,2,11.0,3,3,0
11,20,3,6.0,6,6,0
12,20,4,6.0,7,7,0
13,20,5,10.0,4,4,0
14,20,6,3.0,9,9,0
15,20,7,2.0,10,10,0
16,20,8,11.0,2,2,1
17,20,9,8.0,5,5,0
18,20,15,5.0,8,8,0
19,20,17,2.0,11,11,0
20,20,14,0.0,12,12,0
21,20,18,0.0,13,13,0
22,20,12,0.0,14,14,0
23,20,21,0.0,15,15,0
24,20,22,0.0,16,16,0
25,20,19,0.0,17,17,0
26,20,11,0.0,18,18,0
27,21,1,14.0,3,3,1
28,21,2,16.0,2,2,0
29,21,3,7.0,8,8,0
30,21,4,6.0,9,9,0
31,21,5,14.0,5,5,0
32,21,6,3.0,11,11,0
33,21,7,2.0,12,12,0
34,21,8,19.0,1,1,1
35,21,9,14.0,4,4,0
36,21,15,8.0,7,7,0
37,21,17,4.0,10,10,0
38,21,14,0.0,13,13,0
39,21,18,0.0,15,15,0
40,21,12,0.0,17,17,0
41,21,21,0.0,18,18,0
42,21,22,0.0,16,16,0
43,21,19,0.0,19,19,0
44,21,11,0.0,20,20,0
45,21,13,10.0,6,6,1
46,21,10,0.0,14,14,0
47,21,16,0.0,21,21,0
48,22,1,20.0,2,2,1
49,22,2,16.0,5,5,0
50,22,3,7.0,9,9,0
51,22,4,6.0,10,10,0
52,22,5,14.0,6,6,0
53,22,6,5.0,11,11,0
54,22,7,2.0,13,13,0
55,22,8,29.0,1,1,2
56,22,9,19.0,3,3,0
57,22,15,9.0,7,7,0
58,22,17,8.0,8,8,0
59,22,14,0.0,15,15,0
60,22,18,3.0,12,12,0
61,22,12,0.0,18,18,0
62,22,21,0.0,16,16,0
63,22,22,0.0,17,17,0
64,22,19,0.0,20,20,0
65,22,11,0.0,19,19,0
66,22,13,18.0,4,4,1
67,22,10,0.0,14,14,0
68,22,16,0.0,21,21,0
69,23,1,28.0,3,3,1
70,23,2,20.0,5,5,0
71,23,3,8.0,10,10,0
72,23,4,9.0,8,8,0
73,23,5,14.0,6,6,0
74,23,6,5.0,11,11,0
75,23,7,2.0,13,13,0
76,23,8,35.0,1,1,2
77,23,9,24.0,4,4,0
78,23,15,9.0,9,9,0
79,23,17,10.0,7,7,0
80,23,14,0.0,14,14,0
81,23,18,3.0,12,12,0
82,23,12,0.0,18,18,0
83,23,21,0.0,16,16,0
84,23,22,0.0,17,17,0
85,23,19,0.0,20,20,0
86,23,11,0.0,19,19,0
87,23,13,28.0,2,2,2
